,Application order,Course,Daytime/evening attendance,Mother's occupation,Father's occupation,Displaced,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP,Target
1226,1,9,1,5,4,0,1,0,0,0,5,8,3,10.666666666666666,0,5,8,5,11.6,7.6,0.32,1
1227,1,10,1,6,8,1,1,0,0,0,6,11,5,11.2,0,6,6,6,12.0,9.4,-3.12,1
1228,5,12,1,5,9,1,1,0,0,0,8,8,8,13.76375,0,8,8,8,13.76375,9.4,-3.12,1
1230,1,10,1,6,7,0,1,1,0,0,6,10,5,10.714285714285714,0,6,10,5,12.2,12.7,-1.7,1
1231,1,10,1,5,5,1,1,0,0,0,6,6,6,12.166666666666666,0,6,7,6,11.666666666666666,9.4,-3.12,1
1233,2,15,1,5,6,1,1,0,0,0,6,6,6,12.833333333333334,0,6,6,6,12.666666666666666,16.2,-0.92,1
1234,6,12,1,2,2,1,1,0,0,0,8,8,7,13.925714285714283,0,8,8,7,13.925714285714283,10.8,1.74,1
1236,6,12,1,5,4,1,1,0,0,0,7,7,7,13.44285714285714,0,8,9,8,13.744444444444444,16.2,-0.92,1
1237,1,7,1,8,8,1,1,0,0,0,5,5,1,16.0,0,5,5,0,0.0,9.4,-3.12,0
1238,1,4,1,10,10,1,1,0,0,0,6,8,6,13.125,0,6,10,6,13.2,16.2,-0.92,1
1239,1,14,1,5,5,0,1,0,0,0,6,7,0,0.0,0,6,6,0,0.0,15.5,-4.06,0
1245,1,16,1,6,6,0,1,0,0,0,7,11,1,10.0,0,7,7,1,13.0,16.2,-0.92,0
1246,1,10,1,10,10,0,1,1,0,0,6,8,6,13.5,0,6,9,6,12.833333333333334,11.1,2.02,1
1247,3,10,1,10,10,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79,0
1250,1,11,1,5,9,1,1,0,0,0,6,7,6,14.833333333333334,0,6,6,6,16.0,11.1,2.02,1
1251,1,15,1,10,6,1,1,0,0,0,6,6,6,11.833333333333334,0,6,7,6,12.857142857142858,15.5,-4.06,1
1252,3,14,1,8,9,1,1,1,0,0,6,10,5,12.0,0,6,11,5,12.333333333333334,11.1,2.02,1
1253,1,10,1,8,9,1,1,0,0,0,6,11,4,12.75,0,6,7,6,11.333333333333334,7.6,0.32,1
1255,1,8,1,6,6,1,1,1,0,0,6,7,0,0.0,0,6,16,1,10.0,11.1,2.02,0
1256,1,10,1,6,6,1,1,0,0,0,6,6,6,12.0,0,6,7,6,12.857142857142858,11.1,2.02,1
1257,3,13,1,8,8,1,1,0,0,0,7,9,7,11.677777777777775,0,8,8,8,13.8,12.7,-1.7,1
1258,4,12,1,5,8,1,1,1,0,0,8,8,7,13.6,0,8,8,7,13.6,12.7,-1.7,1
1259,1,6,1,10,10,1,1,0,0,0,6,7,6,16.0,0,6,8,6,15.875,12.4,1.79,1
1260,3,10,1,4,4,1,1,0,0,0,6,9,5,11.8,0,6,7,6,11.5,7.6,0.32,1
1262,2,15,1,10,10,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79,0
1263,1,16,1,8,4,0,1,1,0,0,6,7,6,16.142857142857142,0,6,10,6,16.2,9.4,-3.12,1
1264,2,12,1,10,6,1,1,1,0,0,8,8,7,11.785714285714286,0,8,8,7,11.785714285714286,12.7,-1.7,1
1265,6,12,1,5,6,1,1,1,0,0,8,8,8,13.42375,0,8,8,8,13.42375,9.4,-3.12,1
1266,1,14,1,10,11,0,1,0,0,0,6,8,6,12.5,0,6,10,5,14.166666666666666,11.1,2.02,1
1267,2,12,1,10,8,1,1,1,0,0,8,8,7,12.464285714285714,0,8,8,7,12.464285714285714,10.8,1.74,1
1269,1,14,1,7,7,0,1,0,0,0,6,8,1,10.0,0,6,9,0,0.0,10.8,1.74,0
1271,1,9,1,10,10,1,1,0,0,0,5,5,5,12.6,0,5,6,4,12.4,16.2,-0.92,1
1272,1,9,1,10,9,1,1,0,0,0,5,7,2,10.0,0,5,6,4,12.0,7.6,0.32,0
1273,1,16,1,8,9,0,1,0,0,0,7,7,0,0.0,0,6,0,0,0.0,8.9,3.51,0
1275,2,11,1,5,8,1,1,0,0,0,6,8,6,12.166666666666666,0,6,6,6,13.5,11.1,2.02,1
1276,5,14,1,10,8,1,1,0,0,0,6,10,4,13.6,0,6,7,5,12.666666666666666,11.1,2.02,1
1279,1,10,1,10,10,1,1,1,0,0,6,7,6,11.714285714285714,0,6,8,6,12.625,13.9,0.79,1
1281,3,12,1,8,10,1,1,1,0,0,8,8,7,13.024285714285714,0,8,8,7,13.024285714285714,10.8,1.74,1
1283,1,7,1,5,5,0,1,1,0,0,5,6,5,17.333333333333332,0,5,8,5,18.571428571428573,12.4,1.79,1
1284,1,14,1,6,8,0,1,1,0,0,5,7,4,11.0,0,5,7,4,11.5,9.4,-3.12,1
1285,2,16,1,4,4,1,1,0,0,0,7,10,6,13.666666666666666,0,7,9,6,12.5,12.4,1.79,0
1287,1,10,1,10,10,0,1,0,0,0,6,6,6,12.833333333333334,0,6,8,6,11.833333333333334,10.8,1.74,1
1288,1,15,1,1,1,1,1,0,0,0,6,9,5,12.6,0,6,11,4,11.5,7.6,0.32,1
1289,1,12,1,10,8,1,1,0,0,0,7,8,6,14.333333333333334,0,8,9,7,13.771428571428572,11.1,2.02,1
1291,1,12,1,10,10,0,1,0,0,0,8,8,7,14.285714285714286,0,8,8,7,14.285714285714286,12.7,-1.7,1
1296,2,14,1,1,1,1,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,0
1297,1,12,1,10,7,0,1,0,0,0,7,10,4,12.6,0,7,9,5,12.38,12.4,1.79,0
1300,1,9,1,4,5,0,1,0,0,0,5,7,3,12.333333333333334,0,5,5,0,0.0,8.9,3.51,0
1302,1,2,1,3,3,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06,1
1304,2,15,1,8,8,1,1,1,0,0,6,7,6,14.714285714285714,0,6,6,6,15.0,13.9,0.79,1
1305,3,15,1,10,10,1,1,0,0,0,6,6,6,12.666666666666666,0,6,7,6,12.833333333333334,12.7,-1.7,1
1307,3,9,1,6,8,1,1,1,0,0,5,5,5,13.4,0,5,6,5,12.2,12.7,-1.7,1
1308,1,12,1,6,8,1,1,0,0,0,8,8,7,13.314285714285717,0,8,8,7,13.314285714285717,12.7,-1.7,1
1309,3,12,1,10,10,1,1,0,0,0,8,8,7,11.98857142857143,0,8,8,7,11.98857142857143,10.8,1.74,1
1311,1,6,1,10,7,1,1,1,0,0,6,13,6,16.46153846153846,0,6,8,6,13.875,15.5,-4.06,1
1312,1,15,1,10,6,1,1,1,0,0,6,7,6,13.666666666666666,0,6,6,6,12.833333333333334,10.8,1.74,1
1313,4,12,1,3,4,1,1,0,0,0,7,8,7,12.65,0,8,9,8,13.411111111111111,16.2,-0.92,0
1315,2,12,1,10,8,1,1,0,0,0,7,8,6,14.37,0,8,10,7,14.65,12.4,1.79,1
1318,1,11,1,6,8,0,1,1,0,0,6,11,4,12.0,0,6,14,3,11.0,10.8,1.74,0
1319,2,16,1,5,9,1,1,0,0,0,6,10,5,12.6,0,6,7,5,11.2,10.8,1.74,1
1320,5,10,1,10,4,0,1,0,0,0,6,6,6,12.166666666666666,0,6,6,6,12.333333333333334,10.8,1.74,1
1322,5,12,1,10,10,1,1,1,0,0,8,8,8,13.76375,0,8,8,8,13.76375,9.4,-3.12,1
1323,6,13,1,6,6,1,1,1,0,0,7,11,6,12.4,0,7,8,6,12.8,11.1,2.02,1
1325,2,12,1,10,10,1,1,0,0,0,7,7,6,14.333333333333334,0,7,7,6,14.333333333333334,7.6,0.32,1
1328,4,12,1,4,4,1,1,0,0,0,7,8,7,14.69625,0,8,9,8,14.622222222222224,12.4,1.79,1
1330,3,13,1,10,8,0,1,1,0,0,7,9,7,12.855555555555556,0,8,8,8,13.9125,12.7,-1.7,1
1331,1,12,1,4,11,0,1,0,0,0,7,7,7,13.7,0,8,9,8,13.994444444444444,11.1,2.02,1
1334,1,12,1,6,6,0,1,0,0,0,7,7,7,13.285714285714286,0,8,9,8,13.333333333333334,16.2,-0.92,1
1338,1,8,1,10,10,1,1,0,0,0,6,14,5,11.5,0,6,13,5,11.0,15.5,-4.06,0
1339,1,12,1,8,9,1,1,1,0,0,8,8,7,11.4,0,8,8,7,11.4,10.8,1.74,1
1341,5,15,1,10,10,1,1,0,0,0,6,7,5,12.8,0,6,10,4,12.2,10.8,1.74,1
1342,1,6,1,8,8,1,1,1,0,0,5,8,5,12.0,0,5,8,4,15.0,12.7,-1.7,1
1343,1,16,1,10,8,1,1,1,0,0,6,8,5,13.0,0,6,9,5,13.5,9.4,-3.12,1
1345,3,6,1,5,5,1,1,0,0,0,6,8,6,14.0,0,6,9,6,13.333333333333334,8.9,3.51,1
1346,4,15,1,4,4,1,1,1,0,0,6,6,6,12.333333333333334,0,6,6,6,13.5,16.2,-0.92,1
1350,1,2,1,4,4,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74,1
1351,3,12,1,10,10,1,1,0,0,0,8,8,7,15.657142857142857,0,8,8,7,15.657142857142857,12.7,-1.7,1
1352,2,5,1,5,4,0,1,0,0,0,6,6,6,12.166666666666666,0,6,6,6,11.333333333333334,12.7,-1.7,1
1353,2,16,1,5,10,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,10.8,1.74,0
1356,1,15,1,1,1,0,1,0,0,0,6,8,4,11.75,0,6,12,0,0.0,7.6,0.32,0
1360,4,7,1,15,31,0,1,0,0,0,5,9,1,13.0,0,5,5,0,0.0,8.9,3.51,0
1361,4,12,1,10,10,1,1,1,0,0,8,8,7,13.331428571428573,0,8,8,7,13.331428571428573,10.8,1.74,1
1362,1,5,1,6,6,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79,0
1363,1,2,1,10,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,12.4,1.79,1
1364,1,12,1,5,10,0,1,0,0,0,7,7,6,13.7,0,7,7,6,13.7,7.6,0.32,1
1367,6,12,1,10,10,1,1,0,0,0,8,8,7,12.2,0,8,8,7,12.2,12.7,-1.7,1
1368,1,9,1,8,4,1,1,0,0,0,5,8,3,10.0,0,5,10,4,11.0,12.7,-1.7,0
1369,1,14,1,10,10,0,1,1,0,0,6,7,5,13.0,0,6,7,6,12.857142857142858,8.9,3.51,1
1371,1,12,1,10,10,0,1,0,0,0,8,8,7,15.028571428571428,0,8,8,7,15.028571428571428,12.7,-1.7,1
1372,1,10,1,6,10,0,1,0,0,0,6,8,6,12.0,0,6,7,6,11.714285714285714,15.5,-4.06,1
1373,1,15,1,4,6,1,1,0,0,0,6,8,5,12.0,0,6,8,5,12.4,9.4,-3.12,1
1375,1,2,1,6,2,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,13.9,0.79,0
1377,1,2,1,8,8,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74,1
1379,1,10,1,6,10,0,1,0,0,0,6,6,0,0.0,0,6,7,0,0.0,11.1,2.02,0
1380,1,13,1,3,9,1,1,0,0,0,7,8,7,12.375,0,7,11,5,12.583333333333334,8.9,3.51,1
1383,1,12,1,10,9,1,1,0,0,0,7,7,6,13.35,0,7,7,6,13.35,7.6,0.32,1
1384,1,5,1,6,4,1,1,1,0,0,6,6,6,15.0,0,6,6,2,16.0,15.5,-4.06,1
1385,1,8,1,2,10,1,1,0,0,0,5,9,2,10.5,0,5,5,0,0.0,12.7,-1.7,0
1387,3,9,1,10,6,1,1,0,0,0,5,8,5,13.25,0,5,6,5,11.833333333333334,13.9,0.79,1
1388,6,7,1,5,12,1,1,0,0,0,5,10,0,0.0,0,5,5,0,0.0,7.6,0.32,0
1390,2,12,1,3,8,1,1,1,0,0,8,8,8,13.88125,0,8,8,8,13.88125,9.4,-3.12,1
1391,2,11,1,4,11,1,1,0,0,0,6,8,6,11.333333333333334,0,6,8,5,12.6,9.4,-3.12,1
1392,1,2,1,10,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,16.2,-0.92,0
1393,1,10,1,5,10,1,1,0,0,0,6,7,6,12.857142857142858,0,6,7,6,13.666666666666666,13.9,0.79,1
1394,5,15,1,29,39,1,1,0,0,0,6,6,5,11.6,0,6,6,6,12.5,8.9,3.51,1
1395,1,11,1,10,4,1,1,1,0,0,6,9,5,11.4,0,6,6,6,11.333333333333334,12.4,1.79,1
1398,1,13,1,10,10,0,1,0,0,0,7,13,6,11.833333333333334,0,7,8,7,12.228571428571428,12.4,1.79,1
1399,1,16,1,10,9,0,1,1,0,0,7,7,7,14.428571428571429,0,7,7,7,14.142857142857142,16.2,-0.92,1
1401,2,11,1,10,8,1,1,1,0,0,6,8,6,12.285714285714286,0,6,9,5,12.4,8.9,3.51,1
1402,1,6,1,2,12,0,1,0,0,0,5,7,5,14.4,0,5,5,5,13.8,7.6,0.32,1
1403,5,12,1,10,8,1,1,1,0,0,7,8,7,13.15,0,8,9,8,15.06875,13.9,0.79,1
1406,2,12,1,6,6,1,1,1,0,0,8,8,7,12.342857142857143,0,8,8,7,12.342857142857143,10.8,1.74,1
1408,1,11,1,6,1,1,1,0,0,0,6,10,4,10.5,0,6,14,1,11.0,7.6,0.32,0
1409,1,9,1,10,2,0,1,0,0,0,5,5,5,10.6,0,5,8,5,11.6,12.4,1.79,1
1411,2,10,1,10,8,1,1,1,0,0,6,8,4,11.25,0,6,6,6,12.0,10.8,1.74,1
1414,3,12,1,5,8,1,1,0,0,0,7,7,7,13.457142857142856,0,8,8,8,14.5125,13.9,0.79,1
1415,2,6,1,12,12,0,1,0,0,0,5,6,5,12.6,0,5,8,4,12.333333333333334,7.6,0.32,1
1417,1,14,1,6,6,0,1,0,0,0,6,6,6,13.666666666666666,0,6,8,5,13.6,8.9,3.51,1
1418,4,9,1,6,8,1,1,1,0,0,5,5,5,11.6,0,5,5,5,11.8,11.1,2.02,1
1419,1,8,1,10,11,0,1,0,0,0,6,9,6,12.571428571428571,0,6,10,5,12.833333333333334,11.1,2.02,0
1420,4,16,1,10,6,1,1,0,0,0,6,7,5,11.8,0,6,7,5,11.4,10.8,1.74,0
1422,3,10,1,10,8,1,1,1,0,0,6,8,6,11.333333333333334,0,6,6,6,11.833333333333334,8.9,3.51,1
1423,1,11,1,7,7,1,1,0,0,0,6,6,6,10.666666666666666,0,6,6,6,11.5,7.6,0.32,1
1425,1,2,1,6,6,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74,1
1429,1,15,1,10,8,1,1,1,0,0,6,6,5,13.0,0,6,7,6,12.833333333333334,8.9,3.51,1
1430,3,12,1,6,8,1,1,1,0,0,8,11,7,12.90857142857143,0,8,11,7,12.90857142857143,10.8,1.74,1
1431,5,16,1,5,10,1,1,0,0,0,6,12,4,12.0,0,6,11,1,10.0,10.8,1.74,0
1433,3,5,1,5,9,1,1,0,0,0,6,6,6,15.333333333333334,0,6,9,6,15.833333333333334,12.7,-1.7,1
1438,1,14,1,10,10,1,1,1,0,0,6,7,6,13.0,0,6,6,6,14.333333333333334,12.4,1.79,1
1439,1,6,1,10,7,1,1,0,0,0,5,6,4,11.75,0,5,10,5,12.571428571428571,10.8,1.74,1
1440,5,14,1,8,4,0,1,0,0,0,5,5,4,12.5,0,5,5,4,14.25,7.6,0.32,1
1442,6,11,1,5,4,1,1,0,0,0,6,6,6,14.0,0,6,6,6,14.666666666666666,11.1,2.02,1
1447,3,7,1,5,4,1,1,1,0,0,5,9,4,12.25,0,5,9,3,12.333333333333334,8.9,3.51,0
1448,1,4,1,10,5,0,1,0,0,0,6,12,3,11.5,0,6,12,3,13.666666666666666,12.4,1.79,0
1450,1,8,1,5,2,0,1,0,0,0,6,9,6,12.0,0,6,10,5,12.166666666666666,11.1,2.02,0
1452,1,2,1,5,2,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74,0
1455,2,9,1,5,10,1,1,1,0,0,5,5,0,0.0,0,5,5,0,0.0,11.1,2.02,0
1460,1,14,1,8,8,0,1,0,0,0,6,15,4,10.5,0,6,16,4,12.5,15.5,-4.06,0
1461,1,4,1,10,9,1,1,0,0,0,6,8,5,12.857142857142858,0,6,11,6,12.3,16.2,-0.92,1
1463,1,7,1,5,5,0,1,0,0,0,5,7,2,13.0,0,5,11,1,10.0,8.9,3.51,0
1466,2,7,1,10,10,1,1,0,0,0,5,6,3,11.0,0,5,6,0,0.0,10.8,1.74,0
1468,1,15,1,10,8,0,1,1,0,0,6,6,6,15.5,0,6,6,6,14.166666666666666,11.1,2.02,1
1469,3,11,1,5,4,1,1,0,0,0,6,8,6,12.333333333333334,0,6,6,6,13.666666666666666,11.1,2.02,1
1472,1,15,1,5,10,0,1,1,0,0,6,7,6,11.333333333333334,0,6,8,6,12.285714285714286,16.2,-0.92,1
1473,1,15,1,1,5,1,1,0,0,0,6,12,0,0.0,0,6,0,0,0.0,9.4,-3.12,0
1475,1,8,1,5,8,0,1,0,0,0,5,11,4,12.0,0,5,9,5,12.6,9.4,-3.12,1
1479,1,6,1,5,10,1,1,1,0,0,6,10,4,13.2,0,6,8,0,0.0,12.4,1.79,0
1481,1,15,1,10,2,0,1,0,0,0,6,10,4,11.25,0,6,6,6,11.333333333333334,10.8,1.74,1
1482,2,14,1,3,7,1,1,1,0,0,6,8,6,15.166666666666666,0,6,7,6,14.428571428571429,8.9,3.51,1
1483,1,11,1,10,10,0,1,1,0,0,6,8,6,11.166666666666666,0,6,7,4,13.4,16.2,-0.92,1
1484,1,12,1,10,8,0,1,1,0,0,7,8,6,10.983333333333334,0,7,8,6,10.983333333333334,7.6,0.32,1
1485,2,10,1,5,4,1,1,1,0,0,6,8,4,10.75,0,6,11,5,11.5,15.5,-4.06,1
1489,6,7,1,5,1,1,1,0,0,0,5,7,4,13.0,0,5,9,5,14.833333333333334,7.6,0.32,1
1490,1,4,1,10,10,0,1,0,0,0,6,9,6,16.11111111111111,0,6,7,6,13.5,13.9,0.79,1
1491,1,15,1,10,10,0,1,0,0,0,6,8,6,11.5,0,6,8,6,11.0,16.2,-0.92,1
1492,1,8,1,3,3,1,1,0,0,0,6,15,4,10.75,0,6,12,2,10.5,13.9,0.79,0
1493,1,14,1,6,9,1,1,1,0,0,6,10,4,11.6,0,6,8,5,13.0,11.1,2.02,1
1494,1,12,1,3,3,0,1,0,0,0,7,21,0,0.0,0,7,7,0,0.0,16.2,-0.92,0
1495,1,7,1,3,6,0,1,0,0,0,5,5,5,13.8,0,5,7,5,14.142857142857142,11.1,2.02,1
1496,1,13,1,6,6,1,1,0,0,0,7,8,7,13.585714285714284,0,8,8,8,14.6875,15.5,-4.06,1
1497,2,14,1,5,11,1,1,0,0,0,6,8,6,13.857142857142858,0,6,8,5,13.0,15.5,-4.06,1
1499,1,4,1,5,5,1,1,1,0,0,6,9,6,13.444444444444445,0,6,9,5,12.6,13.9,0.79,1
1500,1,5,1,4,4,0,1,0,0,0,6,6,6,14.0,0,6,7,6,13.857142857142858,8.9,3.51,1
1501,1,14,1,12,12,1,1,0,0,0,6,10,1,12.0,0,6,0,0,0.0,10.8,1.74,0
1507,1,2,1,8,8,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12,1
1512,1,2,1,6,10,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,11.1,2.02,1
1514,1,12,1,10,10,1,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,15.5,-4.06,0
1522,1,6,1,10,5,1,1,0,0,0,6,12,4,12.8,0,6,17,0,0.0,12.4,1.79,0
1523,1,14,1,8,5,0,1,0,0,0,5,7,5,11.166666666666666,0,5,5,4,11.0,9.4,-3.12,0
1525,1,12,1,5,4,0,1,0,0,0,8,9,7,12.828571428571427,0,8,9,7,12.828571428571427,12.7,-1.7,1
1527,1,7,1,10,10,0,1,1,0,0,5,12,3,10.0,0,5,10,3,12.4,12.4,1.79,1
1531,3,12,1,10,6,1,1,0,0,0,7,7,6,13.033333333333331,0,7,7,6,13.033333333333331,7.6,0.32,1
1534,1,6,1,10,10,1,1,0,0,0,5,7,5,14.4,0,5,5,5,13.6,12.7,-1.7,1
1536,1,12,1,10,9,1,1,0,0,0,7,14,0,0.0,0,7,14,0,0.0,11.1,2.02,0
1537,1,10,1,10,11,1,1,1,0,0,6,6,6,12.666666666666666,0,6,6,6,12.0,9.4,-3.12,1
1540,1,9,1,4,6,1,1,0,0,0,5,5,3,11.666666666666666,0,5,10,4,10.8,9.4,-3.12,0
1541,1,16,1,8,9,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,16.2,-0.92,0
1545,1,5,1,5,10,1,1,0,0,0,6,10,4,12.0,0,6,6,6,12.5,7.6,0.32,1
1553,2,6,1,6,6,1,1,0,0,0,5,10,5,14.333333333333334,0,5,8,5,13.0,9.4,-3.12,1
1555,2,12,1,3,8,1,1,0,0,0,7,7,7,12.835714285714284,0,8,8,8,14.23125,11.1,2.02,1
1556,1,7,1,10,6,1,1,0,0,0,5,5,0,0.0,0,5,0,0,0.0,9.4,-3.12,0
1558,1,2,1,10,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7.6,0.32,0
1559,3,12,1,3,11,1,1,0,0,0,8,8,8,13.24875,0,8,8,8,13.24875,9.4,-3.12,1
1562,4,9,1,4,5,1,1,1,0,0,5,6,3,14.0,0,5,8,5,12.4,11.1,2.02,1
1565,6,10,1,8,8,1,1,1,0,0,6,8,6,13.625,0,6,7,6,12.166666666666666,12.7,-1.7,1
1566,5,12,1,10,6,1,1,1,0,0,7,8,7,14.85,0,8,9,8,15.61111111111111,13.9,0.79,1
1567,2,9,1,5,5,1,1,0,0,0,5,9,4,10.75,0,5,6,5,11.4,11.1,2.02,1
1575,4,2,1,5,5,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,16.2,-0.92,1
1576,2,14,1,10,10,0,1,0,0,0,6,10,5,11.4,0,6,9,4,13.75,12.4,1.79,0
1580,1,15,1,10,8,1,1,1,0,0,6,6,6,13.5,0,6,6,6,14.166666666666666,12.7,-1.7,1
1583,1,16,1,10,10,1,1,1,0,0,6,9,5,12.0,0,6,8,5,11.2,10.8,1.74,0
1584,1,15,1,10,10,1,1,1,0,0,6,8,5,13.0,0,6,7,6,13.0,15.5,-4.06,1
1585,1,2,1,10,9,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7.6,0.32,1
1588,1,11,1,6,5,1,1,0,0,0,6,13,2,10.5,0,6,11,1,12.0,10.8,1.74,0
1591,4,2,1,3,11,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12,0
1597,1,15,1,10,10,0,1,1,0,0,6,7,6,15.571428571428571,0,6,7,6,16.142857142857142,13.9,0.79,1
1598,1,10,1,8,8,1,1,0,0,0,6,10,4,12.0,0,6,7,5,11.8,9.4,-3.12,0
1599,1,15,1,10,10,0,1,0,0,0,6,6,4,11.25,0,6,6,3,11.333333333333334,16.2,-0.92,0
1600,4,2,1,1,4,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,11.1,2.02,1
1603,1,4,1,7,7,1,1,0,0,0,6,8,6,12.142857142857142,0,6,11,5,13.6,12.4,1.79,1
1606,5,11,1,4,10,1,1,0,0,0,6,10,4,13.0,0,6,6,6,13.0,12.4,1.79,1
1607,6,12,1,3,2,1,1,0,0,0,8,9,8,12.8875,0,8,9,8,12.8875,9.4,-3.12,1
1609,2,5,1,8,8,1,1,0,0,0,6,7,6,12.833333333333334,0,6,7,6,12.571428571428571,8.9,3.51,1
1610,1,9,1,5,8,1,1,0,0,0,5,10,3,10.666666666666666,0,5,11,2,12.5,9.4,-3.12,0
1612,2,12,1,6,6,1,1,0,0,0,7,11,6,11.983333333333334,0,8,12,8,12.28125,16.2,-0.92,1
1615,1,6,1,10,6,1,1,0,0,0,6,21,3,12.666666666666666,0,6,15,2,11.0,15.5,-4.06,0
1616,1,6,1,7,10,0,1,0,0,0,5,9,4,13.75,0,5,8,4,14.5,7.6,0.32,1
1620,1,14,1,10,8,1,1,0,0,0,6,8,6,14.125,0,6,10,5,14.5,11.1,2.02,1
1621,1,6,1,10,10,1,1,0,0,0,5,10,3,11.666666666666666,0,5,5,5,13.0,10.8,1.74,1
1626,1,6,1,10,5,1,1,1,0,0,6,7,6,15.714285714285714,0,6,17,5,12.77777777777778,12.4,1.79,1
1629,1,7,1,10,9,0,1,0,0,0,5,11,0,0.0,0,5,5,0,0.0,16.2,-0.92,0
1630,1,8,1,10,10,0,1,0,0,0,5,9,4,12.25,0,5,8,4,11.75,9.4,-3.12,1
1635,1,14,1,8,6,0,1,1,0,0,6,7,6,12.285714285714286,0,6,7,6,13.333333333333334,16.2,-0.92,1
1637,1,12,1,5,5,0,1,1,0,0,7,9,6,13.342857142857143,0,8,10,7,11.65,12.4,1.79,1
1638,1,14,1,6,4,0,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,9.4,-3.12,0
1640,4,12,1,5,4,1,1,1,0,0,7,9,7,12.1375,0,8,9,8,12.91111111111111,12.4,1.79,1
1641,2,5,1,10,8,1,1,0,0,0,6,7,6,14.166666666666666,0,6,7,6,14.857142857142858,9.4,-3.12,1
1642,5,12,1,5,5,1,1,0,0,0,7,7,7,13.528571428571428,0,8,9,8,14.655555555555557,12.4,1.79,1
1644,4,11,1,4,4,1,1,0,0,0,5,5,5,11.4,0,6,11,1,11.0,10.8,1.74,0
1645,2,2,1,5,8,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,8.9,3.51,0
1647,1,12,1,5,8,0,1,1,0,0,7,8,7,13.6375,0,8,8,8,14.3875,13.9,0.79,1
1648,5,12,1,10,8,1,1,0,0,0,7,10,7,12.9,0,8,15,7,12.142857142857142,15.5,-4.06,0
1649,1,12,1,5,10,1,1,1,0,0,8,8,7,14.36,0,8,8,7,14.36,10.8,1.74,1
1651,3,12,1,5,8,1,1,0,0,0,8,8,7,14.7,0,8,8,7,14.7,10.8,1.74,1
1653,3,13,1,4,11,1,1,1,0,0,7,7,7,13.0,0,8,8,8,15.0625,12.4,1.79,1
1654,2,16,1,3,10,1,1,0,0,0,6,6,6,13.5,0,6,6,0,0.0,12.7,-1.7,0
1655,2,6,1,10,4,1,1,0,0,0,5,11,5,12.333333333333334,0,5,7,5,12.6,9.4,-3.12,1
1656,1,9,1,2,5,0,1,0,0,0,5,6,5,13.4,0,5,6,5,13.0,16.2,-0.92,1
1658,3,2,1,10,10,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,7.6,0.32,1
1661,2,6,1,6,3,1,1,0,0,0,6,7,6,16.571428571428573,0,6,6,6,15.666666666666666,13.9,0.79,1
1662,1,12,1,5,5,0,1,0,0,0,7,10,7,15.145,0,8,8,8,15.7425,15.5,-4.06,1
1663,1,12,1,10,8,0,1,1,0,0,7,7,7,13.44285714285714,0,8,8,8,15.075,13.9,0.79,1
1664,1,6,1,10,2,0,1,0,0,0,5,8,5,14.166666666666666,0,5,6,4,11.75,9.4,-3.12,1
1666,1,10,1,6,7,0,1,1,0,0,6,9,6,11.333333333333334,0,6,6,6,12.333333333333334,10.8,1.74,1
1667,4,12,1,2,6,1,1,0,0,0,8,8,8,13.76125,0,8,8,8,13.76125,9.4,-3.12,1
1671,1,6,1,5,3,0,1,0,0,0,6,13,6,15.307692307692308,0,6,9,6,14.0,15.5,-4.06,1
